Week,Date,Office hour,Office hour
1,9/23,no office hour,
2,9/28,Diyi: Tue 11:30-12:30pm,John: Mon 10-11am
3,10/5,John: Mon 10-11am,Michael: Thur 4-5pm
4,10/12,Diyi: Tue 11:30-12:30pm,Michael: Wed 11am-12pm
5,10/19,Diyi: Thur 4-5pm,John: Mon 10-11am
6,10/26,Michael: Thur 4-5pm,John: Wed 3pm -4pm
7,11/2,Diyi: Thur 4-5pm,Michael: Wed 11am-12pm
8,11/9,Diyi: Thur 4-5pm,John: Mon 3pm-4pm
9,11/16,Michael: Thur 4-5pm,John: Wed 3pm -4pm
10,11/23,no office hour,
11,11/30,Diyi: Thur 4-5pm,Michael: Wed 11am-12pm
